well_id,easting,northing,depth_tvd_m,porosity_pct,gamma_ray_api,bulk_density_gcc,formation_top_tvd,formation_base_tvd,formation_thickness_m,distance_to_usp_km,flag,flag_reason
JUT-01,134098.0,451726.0,1670.0671411764706,,46.6571,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1670.560285882353,,49.8368,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1671.0534305882352,,52.1395,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1671.5465752941177,,51.955,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1672.03972,,50.943,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1672.5328647058823,,49.5481,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1673.0260094117646,,48.9869,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1673.519154117647,,48.4745,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1674.0122988235294,,50.0831,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1674.5054435294117,,50.6246,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1674.9985882352942,,50.3588,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1675.4917329411765,,49.3762,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1675.9848776470587,,48.4556,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
JUT-01,134098.0,451726.0,1676.478022352941,,49.272,,1655.2728,1781.0247,125.8,7.748433712693166,tvd_corrected,AH 1659.5-1787.0m → TVD 1655.3-1781.0m (correction: 4.2m)
